system:time_start,soilMoisture
"Jan 1, 2019",659.991
"Feb 1, 2019",599.199
"Mar 1, 2019",512.599
"Apr 1, 2019",473.251
"May 1, 2019",452.405
"Jun 1, 2019",195.82
"Jul 1, 2019",573.465
"Aug 1, 2019",76.517
"Sep 1, 2019",375.239
"Oct 1, 2019",712.52
"Nov 1, 2019",724.957
"Dec 1, 2019",713.872
"Jan 1, 2020",610.701
"Feb 1, 2020",467.749
"Mar 1, 2020",410.378
"Apr 1, 2020",413.191
"May 1, 2020",416.79
"Jun 1, 2020",382.074
"Jul 1, 2020",336.841
"Aug 1, 2020",85.484
"Sep 1, 2020",837.098
"Oct 1, 2020",615.574
"Nov 1, 2020",604.061
"Dec 1, 2020",561.977
"Jan 1, 2021",506.284
"Feb 1, 2021",460.243
"Mar 1, 2021",429.045
"Apr 1, 2021",413.932
"May 1, 2021",447.965
"Jun 1, 2021",346.102
"Jul 1, 2021",221.117
"Aug 1, 2021",83.562
"Sep 1, 2021",155.295
"Oct 1, 2021",727.57
"Nov 1, 2021",672.516
"Dec 1, 2021",756.307
"Jan 1, 2022",537.589
"Feb 1, 2022",485.783
"Mar 1, 2022",326.858
"Apr 1, 2022",336.307
"May 1, 2022",351.719
"Jun 1, 2022",382.488
"Jul 1, 2022",78.319
"Aug 1, 2022",456.806
"Sep 1, 2022",537.826
"Oct 1, 2022",709.829
"Nov 1, 2022",606.498
"Dec 1, 2022",546.282
"Jan 1, 2023",455.982
"Feb 1, 2023",443.352
"Mar 1, 2023",431.302
"Apr 1, 2023",411.933
"May 1, 2023",404.377
"Jun 1, 2023",361.74
"Aug 1, 2023",418.739
"Sep 1, 2023",544.435
"Oct 1, 2023",557.655
"Nov 1, 2023",524.935
"Dec 1, 2023",628.131
"Jan 1, 2024",606.008
"Feb 1, 2024",507.288
"Mar 1, 2024",437.473
"Apr 1, 2024",407.733
"May 1, 2024",391.588
"Jun 1, 2024",421.644
"Jul 1, 2024",226.682
"Aug 1, 2024",149.27
"Sep 1, 2024",652.39
"Oct 1, 2024",500.005
"Nov 1, 2024",493.284
"Dec 1, 2024",567.022
