field_id,date,valid_frac,ndvi,ndre,cire,s2rep,ndre_seg_std,n_segments
FLD0054,2025-06-02,0.5248,0.4550,0.3215,0.8905,720.8570,0.0450,16.0000
FLD0055,2025-06-02,0.7852,0.5667,0.3913,1.3377,721.4418,0.0952,21.0000
FLD0056,2025-06-02,0.8780,0.6469,0.4299,1.4192,720.4118,0.0448,11.0000
FLD0057,2025-06-02,0.8442,0.5377,0.3574,1.0627,719.9866,0.0459,17.0000
FLD0058,2025-06-02,0.9961,0.4528,0.3107,0.8641,721.2280,0.0350,24.0000
FLD0059,2025-06-02,0.7778,0.3577,0.2430,0.6194,720.2454,0.0317,7.0000
FLD0060,2025-06-02,0.8036,0.3898,0.2606,0.6835,719.6707,0.0230,2.0000
FLD0061,2025-06-02,0.8966,0.4814,0.3225,0.9026,719.6452,0.0313,5.0000
FLD0063,2025-06-02,0.5919,0.4932,0.3386,0.9978,720.6604,0.0634,17.0000
FLD0064,2025-06-02,1.0000,0.4497,0.2760,0.7295,720.2970,0.0256,5.0000
FLD0065,2025-06-02,1.0000,0.5543,0.3770,1.2316,721.5859,0.0714,12.0000
FLD0066,2025-06-02,0.8960,0.5768,0.4038,1.3623,721.1308,0.0706,40.0000
FLD0084,2025-06-02,0.6758,0.7720,0.5048,1.9999,721.1363,0.0821,15.0000
FLD0085,2025-06-02,0.9871,0.6692,0.4734,1.8371,723.2467,0.0832,35.0000
FLD0087,2025-06-02,1.0000,0.6800,0.4623,1.7339,721.4600,0.0824,41.0000
FLD0088,2025-06-02,0.5152,0.5019,0.3719,1.1372,722.6647,0.0455,15.0000
FLD0090,2025-06-02,1.0000,0.5547,0.4219,1.4147,724.0220,0.0727,9.0000
FLD0091,2025-06-02,0.7507,0.4758,0.3542,1.0420,722.4601,0.0379,10.0000
FLD0096,2025-06-02,0.9220,0.5571,0.3973,1.2814,722.4756,0.0541,12.0000
FLD0097,2025-06-02,1.0000,0.7605,0.5084,2.0271,722.1434,0.0613,8.0000
FLD0098,2025-06-02,0.7091,0.7390,0.5428,2.5603,724.6965,0.1177,16.0000
FLD0100,2025-06-02,1.0000,0.6592,0.4011,1.2655,718.6744,,1.0000
FLD0101,2025-06-02,1.0000,0.6080,0.4084,1.2760,722.0130,0.0431,2.0000
FLD0102,2025-06-02,0.6522,0.8384,0.5762,2.5563,723.4627,,1.0000
FLD0110,2025-06-02,0.6034,0.7431,0.5077,1.9674,721.5089,0.0571,6.0000
FLD0112,2025-06-02,0.5616,0.7371,0.5047,2.1132,721.8551,0.0847,31.0000
FLD0113,2025-06-02,0.6721,0.7412,0.5155,2.2023,723.1369,0.0944,16.0000
FLD0114,2025-06-02,0.5385,0.9139,0.5932,2.7649,721.1352,,1.0000
FLD0116,2025-06-02,0.6599,0.7535,0.5039,2.1952,722.0393,0.0998,15.0000
FLD0117,2025-06-02,0.8653,0.7185,0.4716,1.8483,721.0887,0.0930,14.0000
FLD0118,2025-06-02,0.5943,0.8925,0.5920,2.8200,722.7231,0.0581,6.0000
FLD0120,2025-06-02,0.7297,0.7564,0.5449,2.4278,724.1416,0.0851,49.0000
FLD0121,2025-06-02,0.6558,0.7876,0.5407,2.3702,722.9655,0.0958,18.0000
FLD0122,2025-06-02,0.8837,0.7036,0.4702,1.8191,721.3207,0.1008,49.0000
FLD0123,2025-06-02,0.7015,0.8056,0.5455,2.4656,722.7931,0.0736,23.0000
FLD0124,2025-06-02,0.5928,0.7713,0.5265,2.3096,722.3220,0.0990,24.0000
FLD0125,2025-06-02,0.7481,0.7749,0.5193,2.2459,722.7223,0.0963,20.0000
FLD0126,2025-06-02,0.9924,0.4348,0.2852,0.8202,722.1155,0.0712,9.0000
FLD0127,2025-06-02,0.9324,0.7668,0.5309,2.2425,722.7470,0.1110,10.0000
FLD0134,2025-06-02,0.6927,0.6506,0.4619,1.7487,722.7120,0.0356,4.0000
FLD0137,2025-06-02,0.5346,0.6760,0.4821,1.7839,722.3382,0.0543,4.0000
FLD0386,2025-06-02,0.9864,0.5788,0.3978,1.2908,720.9099,0.0643,28.0000
FLD0397,2025-06-02,0.9278,0.6246,0.4316,1.4621,722.2256,0.0545,4.0000
FLD0399,2025-06-02,0.7213,0.6148,0.4657,1.9861,724.3416,0.0566,5.0000
FLD0401,2025-06-02,0.5417,0.5926,0.4184,1.7908,723.0572,0.1003,5.0000
FLD0403,2025-06-02,0.8261,0.4273,0.3123,0.8948,721.3390,0.0259,4.0000
FLD0007,2025-06-07,0.5656,0.7958,0.4536,1.4841,714.9095,0.0989,13.0000
FLD0023,2025-06-07,0.8571,0.8176,0.5521,1.9410,719.8102,,1.0000
FLD0036,2025-06-07,0.7049,0.8096,0.4780,1.4606,714.9603,0.0375,2.0000
FLD0037,2025-06-07,0.5484,0.8469,0.5219,1.7337,717.2159,0.0374,4.0000
