date,ndvi,ndre,cire,s2rep,field_id
2025-06-01,,,,,FLD0000
2025-06-06,,,,,FLD0000
2025-06-11,,,,,FLD0000
2025-06-16,,,,,FLD0000
2025-06-21,,,,,FLD0000
2025-06-26,,,,,FLD0000
2025-07-01,,,,,FLD0000
2025-07-06,,,,,FLD0000
2025-07-11,,,,,FLD0000
2025-07-16,,,,,FLD0000
2025-07-21,,,,,FLD0000
2025-07-26,,,,,FLD0000
2025-07-31,,,,,FLD0000
2025-08-05,,,,,FLD0000
2025-08-10,,,,,FLD0000
2025-08-15,,,,,FLD0000
2025-08-20,,,,,FLD0000
2025-08-25,,,,,FLD0000
2025-08-30,,,,,FLD0000
2025-09-04,,,,,FLD0000
2025-09-09,,,,,FLD0000
2025-09-14,,,,,FLD0000
2025-09-19,,,,,FLD0000
2025-09-24,,,,,FLD0000
2025-09-29,,,,,FLD0000
2025-10-04,,,,,FLD0000
2025-10-09,,,,,FLD0000
2025-10-14,,,,,FLD0000
2025-10-19,,,,,FLD0000
2025-10-24,,,,,FLD0000
2025-10-29,,,,,FLD0000
2025-11-03,,,,,FLD0000
2025-11-08,,,,,FLD0000
2025-11-13,,,,,FLD0000
2025-11-18,,,,,FLD0000
2025-11-23,,,,,FLD0000
2025-11-28,,,,,FLD0000
2025-12-03,,,,,FLD0000
2025-12-08,0.9111,0.5261,1.9438,716.5765,FLD0000
2025-12-13,0.9044,0.5237,1.9301,716.6678,FLD0000
2025-12-18,0.8978,0.5214,1.9164,716.7591,FLD0000
2025-12-23,0.8911,0.5190,1.9027,716.8504,FLD0000
2025-12-28,,,,,FLD0000
2026-01-02,,,,,FLD0000
2026-01-07,,,,,FLD0000
2026-01-12,,,,,FLD0000
2026-01-17,,,,,FLD0000
2026-01-22,,,,,FLD0000
2026-01-27,,,,,FLD0000
2026-02-01,,,,,FLD0000
2026-02-06,,,,,FLD0000
2026-02-11,,,,,FLD0000
2026-02-16,,,,,FLD0000
2026-02-21,,,,,FLD0000
2026-02-26,,,,,FLD0000
2026-03-03,,,,,FLD0000
2026-03-08,,,,,FLD0000
2026-03-13,,,,,FLD0000
2026-03-18,,,,,FLD0000
2026-03-23,,,,,FLD0000
2026-03-28,,,,,FLD0000
2026-04-02,,,,,FLD0000
2026-04-07,,,,,FLD0000
2026-04-12,,,,,FLD0000
2026-04-17,,,,,FLD0000
2026-04-22,,,,,FLD0000
2026-04-27,,,,,FLD0000
2026-05-02,,,,,FLD0000
2026-05-07,,,,,FLD0000
2026-05-12,,,,,FLD0000
2026-05-17,,,,,FLD0000
2026-05-22,,,,,FLD0000
