field_id,season,cropped,ndvi_max,ndvi_amp,sos,pos_ndvi,eos,pos_ndre,ndre_lead_days,ndre_at_peak,s2rep_at_peak,cire_at_peak,stress_days_prepeak,senescence_days,min_decouple_z_prepeak,worst_date,s2rep_z,f_decouple,f_lead,f_rep,stress_score,stress_class,survey_no,field_area_ha
FLD0169,Kharif 2025,True,0.806,0.481,2025-06-11,2025-06-11,2025-08-25,2025-06-11,0.000,0.421,711.700,1.160,0.000,0.000,-1.118,2025-06-21,-2.372,False,False,True,1,mild,155,0.496
FLD0337,Kharif 2025,True,0.706,0.362,2025-06-11,2025-06-11,2025-10-24,2025-06-11,0.000,0.369,709.165,0.847,0.000,0.000,-1.216,2025-06-21,-4.003,False,False,True,1,mild,254,8.463
FLD0072,Kharif 2025,True,0.845,0.313,2025-06-11,2025-06-11,2025-08-25,2025-06-11,0.000,0.479,714.529,1.436,0.000,0.000,-0.377,2025-06-11,-0.550,False,False,False,0,none,466,1.194
FLD0165,Kharif 2025,True,0.750,0.164,2025-06-11,2025-06-11,2025-08-25,2025-06-11,0.000,0.473,716.366,1.416,0.000,0.000,-1.059,2025-06-11,0.632,False,False,False,0,none,154,2.774
FLD0180,Kharif 2025,True,0.856,0.200,2025-06-11,2025-06-11,2025-08-25,2025-06-11,0.000,0.526,715.050,1.544,0.000,0.000,-0.054,2025-06-11,-0.215,False,False,False,0,none,132,0.218
FLD0207,Kharif 2025,True,0.633,0.155,2025-06-11,2025-06-11,2025-06-21,2025-06-16,-5.000,0.408,715.666,1.250,0.000,0.000,0.294,2025-06-11,0.182,False,False,False,0,none,498,0.486
FLD0214,Kharif 2025,True,0.796,0.190,2025-09-09,2025-10-14,,2025-10-29,-15.000,0.641,724.466,3.388,0.000,0.000,0.671,2025-09-24,5.848,False,False,False,0,none,3,0.218
FLD0230,Kharif 2025,True,0.757,0.246,2025-06-11,2025-06-11,2025-06-26,2025-06-11,0.000,0.470,715.383,1.511,0.000,0.000,1.505,2025-06-11,0.000,False,False,False,0,none,362,0.277
FLD0231,Kharif 2025,True,0.802,0.184,2025-06-11,2025-06-11,2025-08-25,2025-06-11,0.000,0.463,714.336,1.432,0.000,0.000,-0.321,2025-06-16,-0.674,False,False,False,0,none,361,3.668
FLD0357,Kharif 2025,True,0.748,0.201,2025-10-19,2025-10-29,,2025-10-29,0.000,0.446,717.031,1.503,0.000,0.000,-0.530,2025-10-19,1.061,False,False,False,0,none,212,4.499
FLD0379,Kharif 2025,True,0.868,0.150,2025-08-25,2025-09-09,,2025-09-09,0.000,0.520,718.485,1.963,0.000,0.000,-0.037,2025-08-25,1.997,False,False,False,0,none,334iS,1.091
FLD0023,Kharif 2025,False,0.805,,,,,,,,,,,,,,,False,False,False,0,no crop,384,0.631
FLD0036,Kharif 2025,False,0.818,,,,,,,,,,,,,,,False,False,False,0,no crop,376,0.268
FLD0050,Kharif 2025,False,0.761,,,,,,,,,,,,,,,False,False,False,0,no crop,479,0.893
FLD0051,Kharif 2025,False,0.592,,,,,,,,,,,,,,,False,False,False,0,no crop,483,0.839
FLD0053,Kharif 2025,False,0.503,,,,,,,,,,,,,,,False,False,False,0,no crop,470,0.850
FLD0064,Kharif 2025,False,0.451,,,,,,,,,,,,,,,False,False,False,0,no crop,435,0.817
FLD0097,Kharif 2025,False,0.770,,,,,,,,,,,,,,,False,False,False,0,no crop,46,1.961
FLD0139,Kharif 2025,False,0.621,,,,,,,,,,,,,,,False,False,False,0,no crop,111,0.590
FLD0141,Kharif 2025,False,0.849,,,,,,,,,,,,,,,False,False,False,0,no crop,107,0.175
FLD0177,Kharif 2025,False,0.643,,,,,,,,,,,,,,,False,False,False,0,no crop,207,1.663
FLD0178,Kharif 2025,False,0.262,,,,,,,,,,,,,,,False,False,False,0,no crop,134,0.640
FLD0189,Kharif 2025,False,0.813,,,,,,,,,,,,,,,False,False,False,0,no crop,125,0.724
FLD0194,Kharif 2025,False,0.819,,,,,,,,,,,,,,,False,False,False,0,no crop,112,1.490
FLD0198,Kharif 2025,False,0.150,,,,,,,,,,,,,,,False,False,False,0,no crop,118,0.239
FLD0208,Kharif 2025,False,0.537,,,,,,,,,,,,,,,False,False,False,0,no crop,6,0.325
FLD0209,Kharif 2025,False,0.580,,,,,,,,,,,,,,,False,False,False,0,no crop,7,0.899
FLD0216,Kharif 2025,False,0.646,,,,,,,,,,,,,,,False,False,False,0,no crop,1,1.700
FLD0221,Kharif 2025,False,0.530,,,,,,,,,,,,,,,False,False,False,0,no crop,494,0.466
FLD0223,Kharif 2025,False,0.878,,,,,,,,,,,,,,,False,False,False,0,no crop,491,0.585
FLD0238,Kharif 2025,False,0.382,,,,,,,,,,,,,,,False,False,False,0,no crop,359,0.370
FLD0245,Kharif 2025,False,0.895,,,,,,,,,,,,,,,False,False,False,0,no crop,346,1.211
FLD0268,Kharif 2025,False,0.759,,,,,,,,,,,,,,,False,False,False,0,no crop,428,2.659
FLD0295,Kharif 2025,False,0.828,,,,,,,,,,,,,,,False,False,False,0,no crop,297,0.180
FLD0297,Kharif 2025,False,0.899,,,,,,,,,,,,,,,False,False,False,0,no crop,296,0.631
FLD0304,Kharif 2025,False,0.697,,,,,,,,,,,,,,,False,False,False,0,no crop,285,0.515
FLD0321,Kharif 2025,False,0.779,,,,,,,,,,,,,,,False,False,False,0,no crop,263,2.287
FLD0325,Kharif 2025,False,0.831,,,,,,,,,,,,,,,False,False,False,0,no crop,267,0.973
FLD0334,Kharif 2025,False,0.661,,,,,,,,,,,,,,,False,False,False,0,no crop,261,10.225
FLD0341,Kharif 2025,False,0.531,,,,,,,,,,,,,,,False,False,False,0,no crop,249,3.981
FLD0353,Kharif 2025,False,0.670,,,,,,,,,,,,,,,False,False,False,0,no crop,232,3.193
FLD0354,Kharif 2025,False,0.519,,,,,,,,,,,,,,,False,False,False,0,no crop,213,1.988
FLD0355,Kharif 2025,False,0.381,,,,,,,,,,,,,,,False,False,False,0,no crop,211,5.132
FLD0358,Kharif 2025,False,0.463,,,,,,,,,,,,,,,False,False,False,0,no crop,214,0.733
FLD0359,Kharif 2025,False,0.380,,,,,,,,,,,,,,,False,False,False,0,no crop,215,0.765
FLD0360,Kharif 2025,False,0.477,,,,,,,,,,,,,,,False,False,False,0,no crop,216,1.926
FLD0361,Kharif 2025,False,0.536,,,,,,,,,,,,,,,False,False,False,0,no crop,217,2.359
FLD0363,Kharif 2025,False,0.764,,,,,,,,,,,,,,,False,False,False,0,no crop,219,1.438
FLD0374,Kharif 2025,False,0.592,,,,,,,,,,,,,,,False,False,False,0,no crop,252,42.469
FLD0377,Kharif 2025,False,0.796,,,,,,,,,,,,,,,False,False,False,0,no crop,341iS,1.374
FLD0383,Kharif 2025,False,0.653,,,,,,,,,,,,,,,False,False,False,0,no crop,341iS,30.671
FLD0388,Kharif 2025,False,0.539,,,,,,,,,,,,,,,False,False,False,0,no crop,485,0.731
FLD0405,Kharif 2025,False,0.786,,,,,,,,,,,,,,,False,False,False,0,no crop,80,0.300
FLD0408,Kharif 2025,False,0.651,,,,,,,,,,,,,,,False,False,False,0,no crop,83,0.304
FLD0432,Kharif 2025,False,0.777,,,,,,,,,,,,,,,False,False,False,0,no crop,339,1.535
FLD0442,Kharif 2025,False,0.790,,,,,,,,,,,,,,,False,False,False,0,no crop,223,0.941
FLD0446,Kharif 2025,False,0.919,,,,,,,,,,,,,,,False,False,False,0,no crop,220,0.649
FLD0447,Kharif 2025,False,0.749,,,,,,,,,,,,,,,False,False,False,0,no crop,492,0.556
FLD0142,Kharif 2026,True,0.912,0.177,2026-06-01,2026-06-01,2026-08-25,2026-09-09,-100.000,0.467,712.282,1.433,15.000,10.000,-3.303,2026-06-01,-2.136,True,False,True,2,moderate,108,0.095
